tile_map_mundo_aberto: .word 20, 11
.byte
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,6,1,2,0,0,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
1,1,1,1,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
1,1,1,2,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,



