menu_bitmap: .word 20,15
.byte
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,45,46,47,48,49,50,51,52,53,54,55,56,0,0,0,0,
0,0,0,0,65,66,67,68,69,70,71,72,73,74,75,76,0,0,0,0,
0,0,0,0,85,86,87,88,89,90,91,92,93,94,95,96,0,0,0,0,
0,0,0,0,105,106,107,108,109,110,111,112,113,114,115,116,0,0,0,0,
0,0,0,0,125,126,127,128,129,130,131,132,133,134,135,136,0,0,0,0,
0,0,0,0,145,146,147,148,149,150,151,152,153,154,155,156,0,0,0,0,
0,0,0,0,165,166,167,168,169,170,171,172,173,174,175,176,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
