fogo: .word 32, 16
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,7,7,23,23,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,7,23,31,31,23,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0,0,
0,0,0,0,7,23,31,39,39,31,23,7,0,0,0,0,0,0,0,7,7,23,23,23,23,23,7,7,0,0,0,0,
0,0,0,0,7,23,31,39,39,31,23,7,0,0,0,0,0,0,7,7,23,31,31,31,31,31,23,7,7,0,0,0,
0,0,0,0,7,23,31,39,39,31,23,7,0,0,0,0,0,0,7,23,31,39,39,39,39,39,31,23,7,0,0,0,
0,0,0,0,7,23,31,39,39,31,23,7,0,0,0,0,0,0,7,23,31,39,39,39,39,39,31,23,7,0,0,0,
0,0,0,0,7,23,31,39,39,31,23,7,0,0,0,0,0,0,7,7,23,31,31,31,31,31,23,7,7,0,0,0,
0,0,0,0,0,7,23,31,31,23,7,0,0,0,0,0,0,0,0,7,7,23,23,23,23,23,7,7,0,0,0,0,
0,0,0,0,0,7,7,23,23,7,7,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,0,0,0,0,0,0,
0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


